Date,Country,Local,Industry Sector,Accident Level,Potential Accident Level,Gender,Employee type,Critical Risk,Description,Year,Month,Day,Weekday,WeekofYear,Season,Description_preprocessed
2016-02-02,Country_01,Local_01,Mining,IV,V,Male,Third Party,Electrical installation,"In moments that the operator of the Jumbo 2, tried energize your equipment to proceed to the installation of 4 split set at intersection 544 of Nv 3300, remove the lock and opening the electric board of 440V and 400A, and when lifting the thermomagnetic key This makes phase to ground - phase contact with the panel shell - producing a flash which reaches the operator causing the injury described.",2016,2,2,Tuesday,5,Summer,moment operator jumbo 2 tried energize equipment proceed installation 4 split set intersection 544 3300 remove lock opening electric board 440v 400a lifting thermomagnetic key make phase ground phase contact panel producing flash reach operator causing injury described
2016-02-04,Country_02,Local_05,Metals,I,III,Male,Employee,Confined space,"Due to the accumulation of Waelz on the conveyor and trailer of the Filter 08FI0502, the employee performed the cleaning of the shutter using the air lance, when he was surprised by the fall of the product that was above the door, passing between the neck and the collar of the aramid jacket and causing burn in the neck and shoulder.",2016,2,4,Thursday,5,Summer,due accumulation well conveyor trailer filter 08fi0502 employee performed cleaning shutter using air lance surprised fall product above door passing between neck collar afraid jacket causing burn neck shoulder
2016-02-04,Country_02,Local_05,Metals,I,IV,Male,Employee,Liquid Metal,"The employee was working in the When a thermal shock caused a splash of zinc in his direction, the employee, despite using all the indicated PPE, was hit by small spatters that passed between the facila and the hood. small burn in the face region.",2016,2,4,Thursday,5,Summer,employee working thermal shock caused splash zinc direction employee despite using indicated pie hit small spatter passed between facial hood small burn face region
2016-02-06,Country_01,Local_04,Mining,III,IV,Male,Third Party,Others,"At Rp 050 of level 1620, in circumstances where the workers of the company were performing the task of diamond drilling, the assistants Jhonatan (injured) and Nilton were preparing to increase the HQ perforation pipe located on the scaffolding, Mr. Jhonatan lifts one end of the tube and supports it on the pulley of the equipment frame, the other end being on the working scaffolding, at the moment that Mr. Nilton lifts the end of the HQ pipe that is in the scaffolding to position in the frame, the upper part of the pipe comes out of the pulley falling and striking the right hand of the worker jhonatan against bolts that has the lateral part of the same frame causing the injury described.",2016,2,6,Saturday,5,Summer,050 level 1620 circumstance worker company performing task diamond drilling assistant jonathan injured milton preparing increase perforation pipe located scaffolding jhonatan lift one end tube support pulley equipment frame end working scaffolding moment mr nilton lift end hq pipe scaffolding position frame upper part pipe come pulley falling striking right hand worker jhonatan bolt lateral part frame causing injury described
2016-02-07,Country_01,Local_06,Metals,I,II,Female,Third Party,Others,"Due to the overheating of 2 bars in row 5 of cell 7 a spark is produced, which is projected and manages to reach the Chief of guard who was in the corridor, producing a first degree burn in the neck.",2016,2,7,Sunday,5,Summer,due overheating 2 bar row 5 cell 7 spark produced projected manages reach chief guard corridor producing first degree burn neck
2016-02-08,Country_01,Local_06,Metals,I,II,Male,Employee,Others,"An auxiliary wheel of the cathode crane G2133 was changed in area 75, when when a bearing was heated and hit with a hammer and chisel at one end of the bearing track, a detachment of a bearing piece occurred, impacting it in the thigh of the right leg producing a cut. The ambulance is called and you are transferred to the clinic.",2016,2,8,Monday,6,Summer,auxiliary wheel cathode crane g2133 changed area 75 bearing heated hit hammer chisel one end bearing track detachment bearing piece occurred impacting thigh right leg producing cut ambulance called transferred clinic
2016-02-21,Country_01,Local_06,Metals,I,III,Male,Employee,Others,"The worker Manuel was making the disconnection of the power cables of the gate that is at the intersection of Manco streets with Cajamarquilla in order to remove it. In circumstances that Mr. José worker of the company ITS, was removing the rope tied in the body of the gate, this yields and falls pulling the warning post which hits the helmet of Mr. who He was standing at his side.",2016,2,21,Sunday,7,Summer,worker manuel making disconnection power cable gate intersection mango street cajamarquilla order remove circumstance josh worker company removing rope tied body gate yield fall pulling warning post hit helmet mr standing side
2016-02-25,Country_01,Local_06,Metals,I,II,Male,Third Party,Others,"At 14:16, the operator Samuel was about to open the container for its subsequent loading with silver concentrate, and opened the first gate. Afterwards, he tries to open the second door and it is when product of the opening of the latter, the first one opens and impacts with the handle the safety lens and generates the injury in the left cheekbone of the face of the operator.",2016,2,25,Thursday,8,Summer,1416 operator samuel open container subsequent loading silver concentrate opened first gate afterwards try open second door product opening latter first one open impact handle safety lens generates injury left cheekbone face operator
2016-02-09,Country_01,Local_03,Mining,I,IV,Male,Third Party,Others,"In the Raise chamber, when the operator and assistant removed the drilling bar from the 71R drilling machine - weight approx. 500 Kg - holding it at the top with a 2 TM stroke and assisted with jibs to move horizontally, the operator's jib on the bottom slides by moving the top of the drill bar causing the assistant's bar to enforce his assistant's hand between the bar and the piston of the equipment.",2016,2,9,Tuesday,6,Summer,raise chamber operator assistant removed drilling bar drilling machine weight approx 500 keg holding top 2 stroke assisted jib move horizontally operator jib bottom slide moving top drill bar causing assistant bar enforce assistant hand between bar piston equipment
2016-02-10,Country_01,Local_03,Mining,II,IV,Male,Third Party,Others,"While aligning the right bracket of tower N ° 32, when releasing the tension applied by the tirford of 1.5 Tn, when pushing the lever towards the tension release point, it returns by mechanical effect overcoming the resistance of the lineman operator and reshaping the the hands of the assistant beating the assistant in the frontal region.",2016,2,10,Wednesday,6,Summer,aligning right bracket tower 32 releasing tension applied milford 15 pushing lever towards tension release point return mechanical effect overcoming resistance lineman operator reshaping hand assistant beating assistant frontal region
2016-02-15,Country_02,Local_02,Mining,II,II,Male,Third Party (Remote),Others,"By loosening the A30-29 truck's steering cylinder bolt using power cable and socket, with the force exerted in favor of the equipment, the bolt suddenly retired and the employee hit his hand against the structure of the equipment, causing injury.",2016,2,15,Monday,7,Summer,loosening a3029 truck steering cylinder bolt using power cable socket force exerted favor equipment bolt suddenly retired employee hit hand structure equipment causing injury
2016-02-14,Country_01,Local_06,Metals,I,II,Male,Third Party,Others,"An operator of the G-2142 deslaminadora in section 75 was unlocking a sheet of zinc stuck so that it can enter the slide of the stacking table, for this requires the support of Mr. Mollares and this helps to hold the sheet to place it in the entry chute to the slide. At the moment of releasing the blade, it tilted and brushed Mr. Mollares's left leg. The collaborator went to the nearby eyewash for cleaning and immediately to the medical center.",2016,2,14,Sunday,6,Summer,operator g2142 deslaminadora section 75 unlocking sheet zinc stuck enter slide stacking table requires support dollar help hold sheet place entry chute slide moment releasing blade tilted brushed mr collarless left leg collaborator went nearby eyewash cleaning immediately medical center
2016-02-15,Country_01,Local_06,Metals,I,II,Male,Employee,Manual Tools,"The operator was willing to manually displace the zinc sheet adhered to the aluminum cathode. At the moment when the blade was detached, the blade was released from the cathode, bending and grazing the collaborator's right hand, producing 2 small cuts at the knuckles of the fingers, the worker made use of his gloves. leather. The worker is transferred to the medical unit for first aid.",2016,2,15,Monday,7,Summer,operator willing manually displace zinc sheet adhered aluminum cathode moment blade detached blade released cathode bending grazing collaborator right hand producing 2 small cut knuckle finger worker made use glove leather worker transferred medical unit first aid
2016-02-13,Country_01,Local_01,Mining,I,I,Male,Employee,Others,"At the end of lunch in an enabled place on the side of the winche control room. He gets up and after a short walk he slips and sits with the floor and making contact with the left knee and not taking importance in the rest of the guard, when the guard is finished, he goes to safety and communicates the fact, for which reason it is derived Natclar, for your attention.",2016,2,13,Saturday,6,Summer,end lunch enabled place side winch control room get after short walk slip sits floor making contact left knee not taking importance rest guard guard finished go safety communicates fact reason derived nascar attention
2016-02-15,Country_01,Local_03,Mining,I,III,Male,Third Party,Others,"At the end of the rock break at the intersection of the ramp -1055 and the opening of the access to the ventilation chimney, the master loader identifies rocks on the mesh proceeding to unload them, at the end he decides to verify if there are still remains by positioning himself under the line of fire, at which time a fragment of rock falls - 5x4x3cm .; 180 gr - between the cocada mesh impacting between the lens and the helmet causing the injury.",2016,2,15,Monday,7,Summer,end rock break intersection ramp 1055 opening access ventilation chimney master loader identifies rock mesh proceeding unload end decides verify still remains positioning line fire time fragment rock fall 5x4x3cm 180 go between cicada mesh impacting between lens helmet causing injury
2016-02-16,Country_01,Local_01,Mining,I,IV,Male,Employee,Others,"The worker carried out his work at level 2940, stop 896; and placed metal mesh on the basket (SOIL HALF) of the Scissor the mesh falls and hits the back of his right hand.",2016,2,16,Tuesday,7,Summer,worker carried work level 2940 stop 896 placed metal mesh basket soil half scissor mesh fall hit back right hand
2016-02-16,Country_02,Local_07,Mining,II,III,Male,Employee,Others,When using the griff wrench to unscrew the rod from the probe the key came to move by pressing the employee's finger against the probe.,2016,2,16,Tuesday,7,Summer,using griff wrench unscrew rod probe key came move pressing employee finger probe
2016-02-17,Country_01,Local_03,Mining,I,II,Male,Employee,Others,"When the plant operator was semi-kneeling when lifting the lid or gate (15 kg) of the distributor box of the secondary mill No. 4 and No. 5, his right knee slips due to the presence of debris spilled on the platform or floor (Grating) - which gave him an extra effort in his left leg, generating a muscle contracture.",2016,2,17,Wednesday,7,Summer,plant operator semikneeling lifting lid gate 15 keg distributor box secondary mill 4 5 right knee slip due presence debris spilled platform floor grating gave extra effort left leg generating muscle contractor
2016-02-19,Country_01,Local_03,Mining,I,II,Male,Employee,Others,"At level -1095 - Access 6 A2 - at times when the engineer trainee planamieto entered to verify the amount of split set placed by the Scissor 184 in the support - holding his notebook and pen in his left hand - while inspecting the roof of the work, he lost the balance when stepping on a rock holding the right hand on a rock on the floor causing the injury. The worker at the time of the accident wore gloves but did not use them because it made it difficult to take notes.",2016,2,19,Friday,7,Summer,level 1095 access 6 time engineer trainee planamieto entered verify amount split set placed scissor 184 support holding notebook pen left hand inspecting roof work lost balance stepping rock holding right hand rock floor causing injury worker time accident wore glove not use made difficult take note
2016-02-21,Country_01,Local_01,Mining,III,IV,Male,Third Party,Others,"The worker Yaranga while working with barretilla in Stop 996, Level 3300. While unloading metal mesh, on the basket of an ampoloader with his operator Juan barretilla is embedded on safety boot, reacting immediately the worker removing the limb with force and managing to release the foot, but producing a wound on the right foot.",2016,2,21,Sunday,7,Summer,worker sarang working barretilla stop 996 level 3300 unloading metal mesh basket ampoloader operator juan barretilla embedded safety boot reacting immediately worker removing limb force managing release foot producing wound right foot
2016-02-20,Country_01,Local_04,Mining,V,V,Male,Third Party,Others,"Approximately 1:40 p.m. in circumstances that shotcrete was launched in the Nv. 1680 BP 255 of the OB2B, after finishing the launch of the first mixkret 113, the assistant of the alpha, Mr. Albertico asks the operator of the mixkret 113, Mr. Jhony to move the mixkret 116, so that access, finding in the cockpit of the mixkret the operator of the Launcher team, Mr. Danon asks him to come down. When the team started, he noticed that Mr. Danon (injured) was imprisoned between the team (height of the left rear rim) and the Hastial de la Labor.",2016,2,20,Saturday,7,Summer,approximately circumstance shotcrete launched 1680 255 bomb after finishing launch first minaret 113 assistant alpha alberto asks operator mixkret 113 mr phony move mixkret 116 access finding cockpit mixkret operator launcher team mr canon asks come team started noticed mr danon injured imprisoned between team height left rear rim martial de la labor
2016-02-15,Country_02,Local_05,Metals,I,II,Male,Employee,Others,The employee was clearing the pipe when he tapped his right thumb against the flange causing little trauma.,2016,2,15,Monday,7,Summer,employee clearing pipe tapped right thumb flange causing little trauma
2016-02-18,Country_02,Local_05,Metals,I,III,Male,Third Party (Remote),Pressed,"When replacing the telescopic expansion joint of the HDPE pipe of the storm drainage pumping system, it reports that the piece involuntarily moved when it was positioned in the holder, pressing its finger against the holder, causing a wound 1 right chemo.",2016,2,18,Thursday,7,Summer,replacing telescopic expansion joint hope pipe storm drainage pumping system report piece involuntarily moved positioned holder pressing finger holder causing wound 1 right chemo
2016-02-22,Country_01,Local_01,Mining,I,IV,Male,Third Party,Others,"During the withdrawal the Kelly bar (conductive bar of 45 Kg, 1.5 m of length and 10 cm of diameter) of the equipment of perforation on the part of two workers, one of them is positioned in the low part to tie the bar and the injured one is position in the upper part to hold the bar, when positioning the bar on the platform they lose control of the bar moving 5 cm with the 2nd finger of the right hand against the pulleys of the frame. At the time of the accident, the worker was wearing safety gloves and the drill rig was blocked.",2016,2,22,Monday,8,Summer,withdrawal kelly bar conductive bar 45 keg 15 length 10 diameter equipment perforation part two worker one positioned low part tie bar injured one position upper part hold bar positioning bar platform lose control bar moving 5 cm finger right hand pulley frame time accident worker wearing safety glove drill rig blocked
2016-02-24,Country_02,Local_07,Mining,I,V,Male,Employee,Others,When starting the activity of removing a coil of electric cables in the warehouse with the help of forklift truck the operator did not notice that there was a beehive in it. Due to the movement of the coil the bees were excited. Realizing the fact the operator turned off the equipment and left the area. People passing by were stung.,2016,2,24,Wednesday,8,Summer,starting activity removing coil electric cable warehouse help forklift truck operator not notice beehive due movement coil bee excited realizing fact operator turned equipment left area people passing stung
2016-02-24,Country_02,Local_07,Mining,I,V,Female,Third Party,Others,When starting the activity of removing a coil of electric cables in the warehouse with the help of forklift truck the operator did not notice that there was a beehive in it. Due to the movement of the coil the bees were excited. Realizing the fact the operator turned off the equipment and left the area. People passing by were stung.,2016,2,24,Wednesday,8,Summer,starting activity removing coil electric cable warehouse help forklift truck operator not notice beehive due movement coil bee excited realizing fact operator turned equipment left area people passing stung
2016-02-24,Country_01,Local_01,Mining,I,IV,Male,Employee,Others,"During the pre-use inspection of the Jumbo 15 (check list) equipment, the operator of the equipment finds behind the seat a plastic bottle filled with a liquid apparently mineral water, without any label or labeling. Take the bottle and take a small sip of the liquid, expelling it immediately when noticing that it was not water, immediately proceeds to wash with enough water and is transferred to the medical center for your attention. The liquid with which it had contact is an esengrasante product of equipment and machinery of low toxicity.",2016,2,24,Wednesday,8,Summer,peruse inspection jumbo 15 check list equipment operator equipment find behind seat plastic bottle filled liquid apparently mineral water without label labeling take bottle take small sip liquid expelling immediately noticing not water immediately proceeds wash enough water transferred medical center attention liquid contact esengrasante product equipment machinery low toxicity
2016-02-29,Country_02,Local_02,Mining,II,IV,Male,Employee,Others,"During maintenance of the Flyght pump rotor, the oil pressure of the the lubrication chamber caused the chamber cover to be projected towards the employee's face, striking him superficially on the forehead, causing injury.",2016,2,29,Monday,9,Summer,maintenance flight pump rotor oil pressure lubrication chamber caused chamber cover projected towards employee face striking superficially forehead causing injury
2016-02-26,Country_01,Local_06,Metals,I,IV,Male,Third Party (Remote),Pressurized Systems / Chemical Substances,"Approx. at 11:22 am there is a leakage of sulfur dioxide (SO2) from section 20/30 due to water seal blowing due to overpressure of the acid plant, at that moment there were 13 collaborators of CORMEI companies, EISSA and COSAPI doing work near the impacted area; who were evacuated to the medical center for their care, then returned to their usual work.",2016,2,26,Friday,8,Summer,approx leakage sulfur dioxide section 2030 due water seal blowing due overpressure acid plant moment 13 collaborator come company essa cosa work near impacted area evacuated medical center care returned usual work
2016-02-27,Country_01,Local_01,Mining,I,III,Male,Third Party,Others,"While performing the cutting of the meshes protruding in the gables of the work, the assistant loader is positioned at 1.40mt. on the floor using a portable ladder which was held at the base by the master loader, at which time the loader assistant loses balance and when falling is held by the mesh with the hand hanging at 0.80mt. of the floor causing the injury.",2016,2,27,Saturday,8,Summer,performing cutting mesh protruding gable work assistant loader positioned 140mt floor using portable ladder held base master loader time loader assistant loses balance falling held mesh hand hanging 080mt floor causing injury
2016-03-02,Country_02,Local_08,Metals,I,III,Male,Employee,Pressed,"The operator was in the center (Demag IV), performing maintenance. When transporting the hydraulic cylinder with the help of another operator the official was unbalanced coming the cylinder that carried to press his finger (Left thumb) against the pillar of support of the oven specified below (figure).",2016,3,2,Wednesday,9,Autumn,operator center dead iv performing maintenance transporting hydraulic cylinder help another operator official unbalanced coming cylinder carried press finger left thumb pillar support oven specified below figure
2016-03-02,Country_01,Local_06,Metals,I,III,Male,Employee,Blocking and isolation of energies,"During the start of the neutral leaching process, the employee Jhonatan proceeds to open the air valve of the tank Airlift a circumstance in which the process solution returns through the chimney, the solution coming into contact with the arm and right foot.",2016,3,2,Wednesday,9,Autumn,start neutral leaching process employee jonathan proceeds open air valve tank airlift circumstance process solution return chimney solution coming contact arm right foot
2016-03-03,Country_01,Local_03,Mining,I,III,Male,Third Party,Others,"At a time when two assistants were carrying a bag of cement weighing 42.5 kg to the lamp of the loader - suspended about 10 cm from the floor, the left foot of one of the assistants slid and hit the edge of the baton.",2016,3,3,Thursday,9,Autumn,time two assistant carrying bag cement weighing 425 keg lamp loader suspended 10 floor left foot one assistant slid hit edge baton
2016-03-04,Country_01,Local_06,Metals,I,III,Male,Employee,Manual Tools,"The operator cleaned with spatula spear through one of the windows of the boiler, at that time by force action hit the window frame, causing injury to the little finger of the left hand, the operator had all EPP for boiler cleaning.",2016,3,4,Friday,9,Autumn,operator cleaned spatula spear one window boiler time force action hit window frame causing injury little finger left hand operator pep boiler cleaning
2016-03-05,Country_01,Local_03,Mining,I,IV,Male,Employee,Others,"The locomotive No. 15 operated by MAPERU personnel, was directed with 10 wagons loaded with ore from the OP4 to the waste bin. Next to the waste bin, the patrol car (which goes on the back of the wagons) the moment it passed over a change of track, the left rear wheel of the patrol car leaves the rail advancing the locomotive leaving the patrol car tilted more ahead. The assistant motorist who traveled alone in the patrol car remained inside the structure and suffered minor bruises.",2016,3,5,Saturday,9,Autumn,locomotive 15 operated paper personnel directed 10 wagon loaded ore op waste bin next waste bin patrol car go back wagon moment passed change track left rear wheel patrol car leaf rail advancing locomotive leaving patrol car tilted ahead assistant motorist traveled alone patrol car remained inside structure suffered minor bruise
2016-03-06,Country_01,Local_04,Mining,I,III,Male,Employee,Others,"On pit 831 of level 1910 when radial drilling was performed of negative holes with the simba M4C ITH No. 5 equipment, when the assistant of the equipment operator made the change of the drill bit, the metal bar (hammer) is released from the coupling of the rotation unit and when abruptly withdrawing his hands hit the back of his right hand against the team's structure. At the time of the accident the team was Paid.",2016,3,6,Sunday,9,Autumn,pit 831 level 1910 radial drilling performed negative hole simba mic ith 5 equipment assistant equipment operator made change drill bit metal bar hammer released coupling rotation unit abruptly withdrawing hand hit back right hand team structure time accident team paid
2016-03-06,Country_01,Local_03,Mining,III,IV,Male,Third Party (Remote),Others,"At a time when a worker and another partner were preparing to move an oil cylinder (55 gallons) on a mobile platform mounted on rails (platform weighing approximately 200 kg) it is derailed (leaves the rail). In order to place the platform on the rail, both workers lift the platform and in those instants the right hand of one of them is trapped between the rail and the platform structure where it was held (metallic tube protruding from the platform). This accident caused a bruised wound on the index finger of the right hand, there was no fracture. At the time of the accident they both wore leather-type safety gloves.",2016,3,6,Sunday,9,Autumn,time worker another partner preparing move oil cylinder 55 gallon mobile platform mounted rail platform weighing approximately 200 keg derailed leaf rail order place platform rail worker lift platform instant right hand one trapped between rail platform structure held metallic tube protruding platform accident caused bruised wound index finger right hand fracture time accident wore leathertype safety glove
2016-03-09,Country_01,Local_06,Metals,I,IV,Male,Third Party,Suspended Loads,"The operator was feeding a bag of big bag containing scraps of Zn sheets. During lifting, this loaded bag is released from the hook of the hoist, making abrupt contact with the liquid zinc of the furnace, generating an explosion and causing the operator to be hit with liquid zinc.",2016,3,9,Wednesday,10,Autumn,operator feeding bag big bag containing scrap sheet lifting loaded bag released hook hoist making abrupt contact liquid zinc furnace generating explosion causing operator hit liquid zinc
2016-03-11,Country_01,Local_03,Mining,III,V,Male,Third Party,Others,"In circumstances that two workers of the company INCIMMET made the loading of explosives using an equipment anfoloader, in a front of the work - sustained with shotcreterepentinamente of the right superior part of the crown, a piece of rock of approx. 9. kg, (0.2mx0.15mx0.10m), impacting on the basket and on the back of the helper who was in the basket suspended at 2.2 m height, moments later a block of rock is detached from the wall of the gable approx. 1,500 kg. (1.20mx1.10mx0.40m), which impacts the ampoloader team and part of this block injures the operator of the ampoloader team who was standing on the ground. The equipment anfoloader has a cabin with protection ROPs and FOPs, at the time of the accident both workers used helmets and safety boots. Both suffered polyontusions and minor scoria injuries.",2016,3,11,Friday,10,Autumn,circumstance two worker company incimmet made loading explosive using equipment anfoloader front work sustained shotcreterepentinamente right superior part crown piece rock approx 9 keg 02mx015mx010m impacting basket back helper basket suspended 22 height moment later block rock detached wall gable approx 1500 kg 120mx110mx040m impact ampoloader team part block injures operator ampoloader team standing ground equipment anfoloader cabin protection cop fop time accident worker used helmet safety boot suffered polyontusions minor storia injury
2016-03-11,Country_01,Local_03,Mining,I,V,Male,Third Party,Others,"In circumstances that two workers of the company INCIMMET fectuaban the loading of explosives using an equipment anfoloader, in a front of the work - sustained with shotcreterepentinamente of the right superior part of the crown, a piece of rock of approx. 9. kg, (0.2mx0.15mx0.10m), impacting on the basket and on the back of the helper who was in the basket suspended at 2.2 m height, moments later a block of rock is detached from the wall of the gable approx. 1,500 kg. (1.20mx1.10mx0.40m), which impacts the ampoloader team and part of this block injures the operator of the ampoloader team who was standing on the ground. The equipment anfoloader has a cabin with protection ROPs and FOPs, at the time of the accident both workers used helmets and safety boots. Both suffered polyontusions and minor scoria injuries.",2016,3,11,Friday,10,Autumn,circumstance two worker company incimmet fectuaban loading explosive using equipment anfoloader front work sustained shotcreterepentinamente right superior part crown piece rock approx 9 keg 02mx015mx010m impacting basket back helper basket suspended 22 height moment later block rock detached wall gable approx 1500 kg 120mx110mx040m impact ampoloader team part block injures operator ampoloader team standing ground equipment anfoloader cabin protection cop fop time accident worker used helmet safety boot suffered polyontusions minor storia injury
