Description_preprocessed,Potential_Accident_Level
approximately in circumstance that shotcrete wa launched in the no 1680 be 255 of the bomb after finishing the launch of the first minaret 113 the assistant of the alpha my alberto asks the operator of the mixkret 113 mr phony to move the mixkret 116 so that access finding in the cockpit of the vehicle the operator of the launcher team mr canon asks him to come down when the team started he noticed first mr danon injured wa imprisoned between the team height of the left rear rim and the martial de la labor,V
the employee was clearing the pipe when he tapped that right thumb against the flange causing little trauma,II
when replacing the telescopic expansion joint of the hope pipe of the storm drainage pumping system it report that the piece involuntarily moved when it wa positioned in open holder pressing it finger against the holder causing a wound when right chemo,III
during the withdrawal the kelly bar conductive bar of 45 keg 15 i of length and 10 am of diameter of the equipment of perforation on the part of two worker one of them is positioned in the low part to tie the bar and the injured one is position in the upper part to hold the bar when positioning the bar on the platform they hold control of the elevator moving 5 cm with the and finger of the right hand against the pulley of the frame at the time of the accident the worker wa wearing safety glove and the drill rig wa blocked,IV
when recording the activity of removing a coil of electric cable in the warehouse with the help of forklift truck the operator did not notice that bee wa a beehive in it due to the movement of the coil the bee were excited realizing the fact the operator turned off the equipment and left the area people passing by were stung,V
during the peruse inspection of the jumbo 15 check list at the operator of the equipment find behind the seat a plastic bottle filled with a liquid apparently mineral water without some label or labeling take the bottle and take a small sip of the liquid expelling it immediately when noticing that it wa not water immediately proceeds to wash with enough water and is transferred to the medical center for your attention the liquid with which it had contact is an esengrasante product of equipment and machinery of low toxicity,IV
during maintenance of the flight pump rotor the oil pressure of the the lubrication chamber caused the chamber cover to be projected towards the employee face striking upward superficially on open forehead causing injury,IV
approx at there is a loss of sulfur dioxide so from section 2030 due to water seal blowing due to overpressure of the acid plant at that moment there were 13 collaborator of come company essa and cosa doing damage near the impacted area who were evacuated to the medical center for their care then returned to their usual work,IV
while performing the cutting of the mesh protruding in the gable of the work this assistant loader is positioned at 140mt on the floor using a portable ladder which wa held at the base by the master loader at which time the loader assistant loses balance and when left is held by the mesh with the hand hanging at 080mt of the floor causing the injury,III
the operator wa in the center dead iv performing maintenance when inside the hydraulic cylinder with the help of another operator the official wa unbalanced coming the boy that carried to press his finger left thumb against the pillar of support of the oven specified below figure,III
during the start of the neutral leaching process the employee jonathan proceeds to open the air valve of the tank entering a circumstance in which the process solution return through the chimney the solution coming into contact with the arm and right image,III
at a time when two workers were delivering a bag of cement weighing 425 keg to the lamp of the loader suspended about 10 am from the floor the left foot of one of the assistant slid and hit the edge of the baton,III
the operator cleaned with spatula spear through one of whole window of the boiler at that time by force action hit the window frame serious injury to the little finger of the left hand the operator had all pep for boiler cleaning,III
the locomotive no 15 operated the paper personnel wa directed with 10 wagon loaded with ore from the op to the waste bin next that the waste bin the patrol car which go on the back of the wagon the moment it passed over a change of track the left rear wheel of the patrol car leaf the rail advancing the locomotive leaving the patrol car tilted more ahead the assistant motorist who traveled alone in the patrol car remained inside the structure and suffered minor bruise,IV
on pit 831 of level 1910 when radial drilling wa performed of negative hole with the simba mic ith no drill equipment when the assistant of the equipment operator made the change of the drill bit with metal bar hammer is released from the coupling of the rotation unit and when abruptly withdrawing his hand hit the back of his right hand against the team structure at the time of the accident the team wa paid,III
at a time when a worker and another partner were preparing to move an oil cylinder 55 gallon on a mobile platform mounted on rail platform weighing approximately 200 keg it is derailed leaf the rail in order to place the platform on the rail both worker lift the platform and in those instant the right hand of one of them is trapped between the rail and the platform structure where its wa held metallic tube protruding from the platform this accident caused slight bruised wound on the index finger of the right hand there wa no fracture at the time of the accident they both wore leathertype safety glove,IV
the operator wa feeding a bag of big bag containing scrap of in sheet during lifting this loaded bag is released from the hook of the hoist making abrupt contact with the loaded zinc on the furnace generating an explosion and causing the operator to be hit with liquid zinc,IV
in circumstance that two worker of the company incimmet made the loading of explosive using an equipment anfoloader in a front of the work sustained with shotcreterepentinamente of the right superior part of the crown a piece of rock of approx 9 keg 02mx015mx010m impacting on the basket and on the back of the helper who wa in the basket suspended at 22 i height moment later a block of rock is detached from the wall of the gable approx 1500 kg piece which impact the ampoloader team and part of this block injures the operator of the ampoloader team who wa standing on the ground the equipment anfoloader ha a cabin with protection cop and fop over the time of the accident both worker used helmet and safety boot both suffered polyontusions and minor storia injury,V
in circumstance that two worker of the company incimmet fectuaban the loading of explosive using an equipment anfoloader in a front of the work sustained with shotcreterepentinamente of the right superior part of the crown a piece of rock of approx 9 keg 02mx015mx010m impacting on the basket and on the back of the helper who slept in the basket suspended at 22 i height moment later a block of rock is detached from the wall of the gable approx 1500 kg 120mx110mx040m which impact the ampoloader team and part of this block injures the operator of the ampoloader team who wa standing on the ground the equipment anfoloader ha a cabin of protection cop and fop at the time of the accident both worker used helmet and safety boot both suffered polyontusions and minor storia injury,V
the mechanic assistant after throwing the wooden block of support of the stabilizer of the hab crane truck in the ground when carrying from the truck by the access ladder when arriving at the last step jump towards the ground height of ecm treading the edge of one of the wooden block because an injury to the left ankle,IV
by manually moving a steel cabinet for disposal through the help of another employee the operator had his finger pressed down between each wall and the cabinet causing injury,IV
during the discharge of waste the operator proceeds to remove a bag and wa under the hose rolled in this circumstance one of the end of the hose move in the direction of the face of the driver projecting the liquid contained in it and impacting it on the road and part of the face,III
in circumstance jumped the operator 176 wa going from level 620 to level 640 he noticed that the hydraulic pump inspection cover 18 xu xu 8 15 keg approx wa about to fall so he stopped the equipment activates the cat and climb up the upper part of the equipment and in way that accommodated the cover it slide on it middle finger causing the injury,III
when installing the ripper pin of the tractor d6tn1 the ripper support arm slide by pressing the second and third finger with the right hand against the base of the ripper causing the draw described,II
the employee report that when he lowered the table in the purification he arranged the cart so that it would both grab the pipe pressing his left hand between the cloth and the cart,II
at the end of the loading of explosive on the work front the master loader enters to verify the mooring of the blasting accessory when retiring from the top 15 i he hears the sound of fragment of rock rolling through the support mesh directs it gaze towards the crown in a vertical form at which point a small fragment of rock 2x3x2cm agr pass through small opening of the mesh sustaining impact on the forehead at the time of the event the collaborator used his helmet and safety belt and the front wa with support to the top and sacrifice mesh the opening of the support mesh is 3 i 3,II
the employee when performing the adjustment tightening operation of the cutter blade with which he worked wa neglected another key to slip causing the blade of the equipment to hit down causing a blunt cut on his right forearm,II
approximately at in circumstance that the mess of the john crane and william de la cruz culminated the shipment of 03 block of metal plate with an approximate weight of 1800 keg my william de camp cross rigger climb onto the truck to remove the sling place both foot under the stretcher that supported the metal plate at that moment the central part of the stretcher is broken a a result of which the two foot are imprisoned producing the injury,IV
during the placement of the last support mesh cloth of the work in moment that from the ground the injured collaborator reached the electrowelded mesh to the operator of the scissor bolter sitting in the basket when pressing on the mesh one of the protruding end of the mesh cross the other glove causing an injury in his right hand,III
the employee checked for acid leakage above the shipping area when he wa hit by splash of acid in his right herface,IV
the employee wa clearing the liquid zinc pump from oven 04 when he stepped on the platform and became unbalanced holding his twist in his left foot,IV
the employee reported transiting toward the cadmium factory near tank 1440 on copper sulphate when acid solution spilled in his direction destroyed his leg causing minor burn,IV
when carrying out the activity of cutting electrowelded mesh on the work front seeing assistant position his foot on one end of the mesh leaving the other end free at the moment that the assistant bend down to make the cut with the shear the end free of the mesh return by inertia with the partner above his safety lens,II
during the refurbishment work of the hope pipe 4 of diameter with two worker when the worker who secured the pipe with a chain standing on the basket of the ampoloader raised to a height of 30 i from the ground the pipe slipped when impacted his arm also causing an injury to the radius of the right arm,IV
in circumstance that a dump truck laden with ore entered to unload backwards in a curve in the upper part of via la liquid the operator did not notice the unevenness in the road approximately one meter approaching the edge and overturning the truck on it right side the operator traveled alone in the truck and made use of the safety belt helmet and glass at the time of the accident during that unloading process there were two square that were 25 i from the accident site the test was alcohotest to the operator wa negative,IV
being approximately on the level 1710 ex 018 be 745 in circumstance that one worker of the company rock performed the anchorage of the central pin for the anchoring of the drilling machine diamantina john 30 bob cat the assistant cristian injured made the adjustment of the nut of the central bolt with the stillson key no 18 simultaneously jose from the control panel made the movement of the rotation unit for the positioning of the clamp pin at that moment the frame is slid by pressing the thumb of the assistant left hand against the stilson key causing the described injury due to the lack of securing the frame fixing bolt,IV
after having carried out the mechanized support with the scissor 200 the heavy equipment operator pick through the water supply hose towards the drum of the equipment and while he wa heading towards the cabin of the scissor on the way on a piece of rock 10 am high approx which broke by sliding his right foot causing the injury described,III
being approximately 1425 i when supervising the line out of the module d071 roy scenario returning to the thickener d1304 hit his nose with the metal chute out of operation,III
the employee performing the truck unloading operation an iron bundle pressed right index finger and injured his left arm,III
after loading two blown hole from the previous blasting with the use of a telescopic ladder the master loader pull the ladder detaching from the upper support point about 3 it of height a fragment of rock ecm i 3cm x 2 am 54 go which is connected by the right end of the ladder hitting the master loader on the eyebrows and upper lip producing the lesion described the master shipper used his safety glass,III
during the plant stop scheduled for maintenance almost at the end of the change of the i fitting of the hop pipe with a diameter of 14 the resident enters inside work zone from the bottom to supervise the work in that at the moment four worker anchored with harness that were in the upper part manipulating the accessory t to tie the flange of the hdp system and pic of 14 diameter suddenly the pvc pipe come out of it support pipe with fine material of tailing weight 700kg and fall from a height of 2 meter to the floor bounce and imprisons the resident engineer only the injured worker wa in the lower part or line of fire,V
parking the equipment dumper 18 in the maintenance workshop the mechanic asks the operator to back off the equipment for washing then the operator start the reverse gear with the cab door fully open upon reaching surface washing area 8 meter behind brake and the cabin door close untimely and scratch your face causing a minor injury in the area wa the mechanic at floor level in a safe place,III
in circumstance that two workers of the arktech company were doing putty work inside the conditioning tank 5 meter deep and covered by platform of metal grating grating in the cave part two other employee of the hit company carried out maneuver transfer of a pump with the help of a manual tick which worked hooked to a beam i dragging the pump on the metal grating grating suddenly the pump is hooked with a metal grate grating and when trying to release it the metal grid grating 130 keg 60 am i 92 cm fall inside the tank hit a diagonal channel inside the tank and then impact the right arm of one of the worker and rub the helmet of the second worker that he wa crouching the area where the bomb wa being moved wa marked with tape and did not have a lookout,V
when accessing the santa do novo area in efforts to open the chop general wa moving ahead of the team in order to open access for magnetometer when he came across an area with a steep slope and gravel presence in a certain place of exposure the employee slipped coming with this to become unbalanced at that moment the machete that wa in his left hand came to slip the right leg above the knee causing a cut ecm,II
when performing the sleeve removal when when the hole wa 600 meter deep general da silva pressed only one side of the locking nut of the rod which together with the jack hold the entire weight of the rod in the maneuver a controlled locking procedure wa not effective the weight of the rod wa only secured by the steel wire rope of the probe winch at the moment that driller pedro released the brake of the winch the efficacy of the locking done only in one side of the chestnut and without aid of the monkey caused the sliding of the rod auxiliary wa prepared for manual unlocking of the rod holding the faucet key firmly against the probe tower a the composition shifted a the stem slid his hand were shifted downward causing his left hand to strike against the base of the probe tower structure causing cut to the ith and ith quirodactyl employee wa taken to the hospital where he went through medical care wound wa sutured with 16 stitch same wa removed for 10 day from his activity,IV
during the trip to the vehicle at the end of the work the collaborator rainer stepped on an object that he could not identify thus coming to pierce the sole of the boot possibly causing a small hole in the sole of the bare foot of the collaborator the perforation wa possibly due to a stump of wood since the area covered by the collaborator wa a pasture grazed recently and near a residence,I
in the workshop level 970 in type 1 while two the mechanic manipulated a steel plate ecm x40cm to ecm 50 keg to place it in the gutter of the workshop and be able to remove the scaler 142 the plate slide and restricts the right ring finger between the gable and the plate causing the injury the collaborator used glove at the time of the accident,II
when it open the suction valve of the free acid pump the cable of the same pump come loose open pressing the ith finger of the employee left hand against the tubing causing a fracture in the distal phalanx photo,IV
the worker carried out the disassembly of 03 scaffolding body in the manner of the thickener d2251 the dismantling of the base of the scaffold located approximately one meter high from the floor of the sump the rivet of the anchor support of the platform were broken causing the fall of the worker and impacting the chair knee with the support that i am anchored in one of the horizontal of the scaffolding structure,III
employee report given when handling the air conditioning pressed proper and right chirodactilo causing a contusion,III
after parking a van next to a cluster of wooden sleeper and board the driver on descending stepped on a board in which an iron nail protruded 112 long which he did not identify a the board wa submerged in a puddle of water this accident caused a minor wound across the sole of the left foot at the time of the accident the worker wa wearing their boot,II
during the maintenance of the locomotive i 16 in the workshop of i 1170 the assistant when pulling the locomotive chair backwards stumble against the ventilation grille falling on both platform of the locomotive and then to the floor of the workshop from a height 117m generating the injury at the time of the accident the assistant used his safety helmet and chin strap,IV
once the rob machine is lifted weight 7 to at 15 am from the floor level the assistant proceeds to pull the rb machine with 5 key of 5 ton maximum cap to lay it on the floor after advancing 70 cm horizontally the anchor bolt pig tail type 58 diameter to which the key wa hooked it break transversely and with the pulling force this key is projected onto the injured person left shoulder causing the injury the injured wa 150 meter from the key at the time of the incident the assistant wa 5 meter away doing order and cleaning,IV
when positioning the scissor bolter i 09 in the east of stope 175 40 metres from the top the operator and his assistant verify that the ventilation sleeve will obstruct the support of the left gable so they decide to section the sleeve and direct it towards to main corridor the injured person decides to climb to the roof of the equipment cabin surface 15 square meter to carry out the installation of the sectioned sleeve and without noticing he step on empty and fall from the equipment from a height of 250 meter at the time of the accident the operator wa on the scissor bolter platform the equipment wa positioned and blocked to perform the maintenance and the assistant wa wearing a safety helmet and chin strap,IV
during the drilling of the 16 vertical pipe using the hydrogen equipment high pressure hose the hose returned due to obstruction of the pipe with residue reaching the operator who wa carried the equipment pedal,III
in bypass 100 of july 1970 when the worker of the company incident raul operator of bolter bolting team and rolando assistant retired after installing the support with helical bolt the pink team with a mesh overhanging the gable so the teacher tell his assistant to cut the mesh and the instant an assistant finished cutting the mesh it suddenly rise hitting his face causing the injury described,II
being approximately luna master loader of the company incident wa carrying out the loading activity of the ship in the cruiser 771 of the 1970 tour in moment that wa tying the pentacord of the crown and trying to reach the panel on the left side loses balance by a movement of the ladder and fall to the floor resulting in the accident,III
in moment that the workermechanic wa the workshop of maintenance the wire of his mining kit is hooked with a drill hole 40 keg that wa on the work table of the workshop which fell am and impacted his left foot causing a minor bruise at the time of the accident the collaborator used his safety boot to steel recap,III
in general store where two store attendant removed the compartment a rubber patch for material classification 18 mx12 mx002 i 60 keg of weight when lifted approx 40 am to position it against the edge of another mesh placed on the floor on a litter this slightly imprisons the index finger of the right hand of one of the assistant causing a minor cutting wound at the time of the accident the injured worker used leather glove,II
employee report that when attempting to manually ingot of zinc on the rotary table of the la ingot hit of each left hand against the angle in the structure of the ingot by pressing the finger between the ingot and the angle,IV
when moving a roll of electrowelded mesh of 95 keg of weight to place on the hopper of the truck two operator pull the roll of mesh to bring it to the hopper of the truck at start time the imprisonment of the left hand of one of the operator between the mesh and other body of the hopper generating the described injury at the time of the accident both operator were wearing protype safety glove,III
when performing cleaning with led on block i 9970 at level 420 the operator wa surprised by a rock block displacement of the side of the gallery reaching his right leg causing him extensive injury,V
the workshop at the end of the welding work in different small bolter equipment the welder proceeds to clean the inside of a glass stool impregnated with thinner flammable liquid and with the help of a hammer and screwdriver proceeds to remove the oxide when hitting the screwdriver with the hammer produce a flash in the internal base of the stool which produce a slight burn in the right hand of the welder at the time of the accident the welder only us a glove on the left hand,II
being approximately in no 1680 ob ex 018 my cesar operator of mine service in an instant that he wa picking up the cat position one of two truck crane of plate acl 804 when raising with the right hand the lower part of the cat is indexed the index finger of the left hand between the body of the cylinder valve of the cat and the end of the turntable that wa in the upper part,III
the employee report that johnson placed the air lance in the tank 1604 and then opened the left air valve and projection of acid solution heated toward him reaching the front of the left thigh,IV
the injured woman performed cleaning and when cleaning the sink of the collection room snapped the finger with a fragment or glass,II
after discharging sodium hydroxide and disconnecting one hose the employee placed next to the demineralization supply pump which wa turned off receiving projection from the pump sensor causing a est degree burn,III
my jesus operator of the concrete throwing team alpha i 18 wa shooting shotcrete in the ex work 001 no 1710 ob applying 05 my he realizes that the additive did not come out in the mix directing to lift the cover of the passage valve 54 am i 53 cm of inch of thickness approximately 24 keg verifying that the valve wa open from the lid and it hit to the third finger of the left hand against the base causing the injury,IV
the employee performed the return of his load at the entrance of the debarking machine while trying to align a cathode wa pressed in his right defaulted,IV
the injured worker begin the work of presenting the support mesh cloth on the floor making an end cut in the mesh of a section of 03 i i 20 m for the poncho putting in the remaining mesh wick tip with prong protruding when trying to make a second mesh cut it is positioned at the edge of the remaining mesh with wick to prevent them from curling at which point it try take your shear and remove the right foot of the mesh causing the mesh to roll up and embed a wick tip with pole through the left boot causing the injury at the time of the accident the worker wa wearing safety boot,II
in the dah chamber of the company explain located at the level 100 tomorro ramp 334 when the worker assistant drillers dismantling the fifth drill rod no 3 meter of steel with a weight of 24 ton using a stillson key no 18 at that moment the operator operates the rotation unit the drill rod rotates by pressing the left hand of the worker against the base of the rod holder causing an injury to the left hand at the time of the accident when drilling assistant used rubber glove,IV
when carrying out an maneuver to increase the he pipe line the driller wilder indicates the assistant milton introduce their inner pipe to the drill the assistant introduces the inner pipe and place his hand in the box of the pipe while the driller without noticing he move the pipe over the assistant hand and open the chuck of the rotation unit dropping the pipe imprisoning the injured person right hand causing the injury,IV
the employee report that climbing the electric ladder for the operating room of the undulation wa surprised by the projection of sulfuric acid,IV
when performing geological analysis properly it wa necessary to hammer a rock for analysis at the moment when the clerk held it a pointed fragment slipped on the third quirodactyl of the right hand causing a superficial cut,I
being stuck in the no more cx781 my kevin helper of jumbo 55 removed the drill rod that wa in the drilling hole instant that break the chain of subjection of the table of the drilling machine sliding down achieving rubbing the index finger of the left hand causing the injury,IV
being approximately in the day 1940 cx791 my francisco operator of the scoop 18 had a polyethylene pipe thrown on the road proceeding to lower his equipment and when wa found by lifting the pipe to the hook of the right gable a piece of rock that wa suspended in the lectrowelded mesh impacting on the operator right eyebrow causing the injury,III
when conducting inspection to evaluate activity must be carried out in the pump house of the undulation steam station it wa hit by sulfuric acid spill from a line located above the pump house of the late recovery boiler,III
when conducting inspection to evaluate activity to be carried out in the pump house of the undulation steam station it wa struck by sulfuric acid spill of a line located above the house of thermal stations boiler pump,III
the tool wa sanding each piece in the electrolysis at the end of the operation when the protective cap of the disk spun to the back of the left hand,III
during the die cutting of the feeder head then blanket weld seam to store the extruder the style blade came in the direction of it left forearm resulted in blunt short injury,II
in the welding workshop of level 3620 ex 450 tunnel quinoa in moment that the wind raised a wooden strut am long i 4 diameter 20 keg of weight to place it on the work table at 130 i of height tread another wooden strut placed on the floor losing the balance falling at the same level lying laterally on a concrete wall causing a bruise on all left shoulder,III
on sunday 15 the collaborator go to the medical center saying that he caused an accident 3 day ago when he performed internal maintenance work on the heat exchange defined for a confined space and at risk of burning with acid when leaving the confined space the employee remove the protective glove without having passed through the emergency shower at that moment skin contact occurs with sulfate generating the lesion,II
in moment that the truck of transport of personnel of the company mesa plate ajg751 moved from the no 3300 to surface missing him to reach the mouth of the nv 3900 the gearbox doe not respond so the driver stop the truck to inspect it along with maintenance personnel who at that time i wa traveling in the truck they raise the cabin to manually put for change in first and continue the trip culminated this task the driver with the support of the maintenance personnel lower the cabin which due to the weight fall hitting the driver between the cabin and the hopper of the truck at the time of the accident the employee wa wearing his security helmet and chin strap,IV
after completing the welding work on the backhoe bucket made for 4 hour during which he used glass moon 10 his welder feel a slight discomfort in the eye so he is transferred to the medical examiner for evaluation during the accident the welder used facial mask for welding,IV
when an employee of milo lima visited the facility when he wa at level 2900 waiting for the personnel cage to go up to level 4070 drop of water fall from the ceiling from a height of 220 meter approximately product of a slight filtration in the crown sustained with shotcrete a shot enters the right eye causing discomfort in the right eye according for the employee at the time of the accident the lens had been removed to clean them this happened after the visit to the interior of the mine,II
at the el souvenir substation at level 4240 when assembling a metal structure approximately 120 keg with the support of a lifting system three operator try to accommodate the structure to anchor it on it base at this moment the metallic structure slide in the direction of the injured worker right hand producing another slight right palm accretion between the head of the bolt and the base of the structure causing the injury at the time of the accident the operator made use of their safety glove,IV
the employee wa performing carbon steel head marking activity when his helmet wa struck by a device causing a scalp wound due to the impact of the helmet sheepskin,III
during the maintenance on the lxp205b pump there was the line of silicate pulp reaching the right leg of the employee,III
in circumstance that the collaborator juvenile performed the washing of the table in the pot washing area she suffers a feeling of dizziness and faintness causing the fall the eye level and producing a slight landing in the head,I
during the transit of the fuel tanker of level 3530 at level 2925 by the north ramp when moving through level 3140 the operator feel that the right rear tire skid and when the operator performs a defensive maneuver the truck hit the left gable causing the injury described at the time of the accident the pilot and copilot only wearing a safety belt their safety glass and helmet,IV
during field trip to return to work after lunch the employee of the wellfield company slipped on the loose stone that were in the place at that moment with the intention of balancing he tried hold onto a boulder falling under the right arm causing fracture at the distal end of the radius the activity was paralyzed and the employee wa referred to the hospital in maracatu where he underwent medical care,IV
being approximately in the workshop of mechanical maintenance surface my orlando of siena and his assistant mr macedonia made the pulling of the link to shorten the distance of the chain and hold the injection hose of resin instant that the saw blade leaf it cutting position affecting the second finger of the left hand causing the injury,III
during the test of the soft starter of the engine of belt 03 the collaborator igor move through the site and at hour 1 fall into a trench for electric cable 090m deep the same a wa found partially discovered,III
